title,mp3_url,archive_url,synopsis,broadcast_date,physical_format,Duration,digital_format,ownership,language,program_sponsor,broadcast_datetime,broadcast_year,broadcast_month,broadcast_monthday,has_mp3_url
Interviewing author and journalist John Howard Griffin,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F36857.mp3,/programs/interviewing-author-and-journalist-john-howard-griffin,,"Jan. 1, 1960",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"54 minutes, 14 seconds",WAV,The Chicago History Museum,English,,1960-01-01,1960.0,1.0,1.0,True
Avram Nagid and Claude Ollier talk with Studs Terkel ; part 2,https://wfmt-studs-terkel.s3.amazonaws.com/published/29725.mp3,/programs/avram-nagid-and-claude-ollier-talk-studs-terkel-part-2,,"Jan. 1, 1960",2 sound tape reels (ca. 45 min.) : 7 in.,"12 minutes, 37 seconds",WAV,The Chicago History Museum,English,,1960-01-01,1960.0,1.0,1.0,True
Avram Nagid and Claude Ollier talk with Studs Terkel  ; part 1,https://s3.amazonaws.com/wfmt-studs-terkel/published/11377.mp3,/programs/avram-nagid-and-claude-ollier-talk-studs-terkel-part-1,,"Jan. 1, 1960",2 sound tape reels (ca. 45 min.) : 7 in.,"31 minutes, 23 seconds",WAV,The Chicago History Museum,English,,1960-01-01,1960.0,1.0,1.0,True
Interviewing Isaac Stern,https://wfmt-studs-terkel.s3.amazonaws.com/published/42687.mp3,/programs/interviewing-isaac-stern,,"Jan. 1, 1963",1 sound tape reel (ca. 35.07 min.) : 7 in.,"35 minutes, 10 seconds",WAV,The Chicago History Museum,English,,1963-01-01,1963.0,1.0,1.0,True
"Emily Kimbrough discusses her book ""Forever Old, Forever New""",,/programs/emily-kimbrough-discusses-her-book-forever-old-forever-new,"Discussing her travels to Greece and her book ""Forever Old, Forever New"" with the author Emily Kimbrough.","Jan. 1, 1965",1 sound tape reel (ca. 60 min.) : 7 in.,"41 minutes, 41 seconds",WAV,The Chicago History Museum,English,,1965-01-01,1965.0,1.0,1.0,False
Lucien Stryk discusses Zen poetry and Zen philosophy,,/programs/lucien-stryk-discusses-zen-poetry-and-zen-philosophy,Discussing Zen poetry and Zen philosophy with the poet Lucien Stryk.,"Jan. 1, 1966",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"57 minutes, 47 seconds",WAV,The Chicago History Museum,English,,1966-01-01,1966.0,1.0,1.0,False
"Jean Gascon discusses his production of  ""The Alchemist""",https://s3.amazonaws.com/wfmt-studs-terkel/published/8216.mp3,/programs/jean-gascon-discusses-his-production-alchemist,"Jean Gascon, the artistic director of the Stratford Theater in Ontario, Canada, speaks with Studs Terkel about his production of “The Alchemist.” His interpretation of playwright Ben Jonson’s work opened in Chicago at the Studebaker Theater, alongside “Hamlet” directed by John Hirsch. Gascon talks a bit on his career in theater and the cultural influences on his directing style. Gascon admires Jonson’s work and social commentary, and feels themes of “The Alchemist” are relevant to current issues in society. They discuss the challenges of making the play’s language contemporary and accessible to audiences and the risks his company takes with limited rehearsal time. Gascon also comments on the state of Canada’s theater scene and the lack of opportunities for Canadian playwrights. Note: the word “bitching” is used in this interview.","Jan. 1, 1969",1 sound tape reel (ca. 60 min.) : 5 in.,"33 minutes, 3 seconds",WAV,The Chicago History Museum,English,,1969-01-01,1969.0,1.0,1.0,True
Panel of women recipients discuss being welfare recipients in Chicago,https://s3.amazonaws.com/wfmt-studs-terkel/published/5942.mp3,/programs/panel-women-recipients-discuss-being-welfare-recipients-chicago,A panel of women discuss raising their families while getting welfare assistance and living in poverty in Chicago.,"Jan. 1, 1969",1 sound tape reel (ca. 58 min.) : 7 in.,"54 minutes, 36 seconds",WAV,The Chicago History Museum,English,,1969-01-01,1969.0,1.0,1.0,True
"John Hirsch discusses his production of ""Hamlet""",https://s3.amazonaws.com/wfmt-studs-terkel/published/8218.mp3,/programs/john-hirsch-discusses-his-production-hamlet,"Director John Hirsch discusses and analyzes his interpretation of Shakespeare’s “Hamlet” with Studs Terkel during a party for the Stratford Theater Company. Hirsch calls “Hamlet” a pessimistic play, commenting on Shakespeare’s depiction of society and the nature of the characters. He also says that the play’s complexities allow for several interpretations and understandings of the work, which contributes to his bare and simple production of Hamlet. The two discuss Hirsch’s production of “Mother Courage” and how current events and personal experiences influence Hirsch’s work.","Jan. 1, 1969",1 sound tape reel (ca. 60 min.) : 5 in.,"25 minutes, 15 seconds",WAV,The Chicago History Museum,English,,1969-01-01,1969.0,1.0,1.0,True
Jacob Bronowski in conversation with Studs Terkel,,/programs/jacob-bronowski-conversation-studs-terkel,,"Jan. 1, 1971",1 sound tape reel (ca. 59 min.) : 10 1/2 in.,,WAV,The Chicago History Museum,English,,1971-01-01,1971.0,1.0,1.0,False
